handle,title,body_html,vendor,product_type,tags,published
heavy-duty-mobile-fittings-cabinet,Heavy-Duty Mobile Fittings Cabinet – Secure Steel Storage with Adjustable Shelves,,,,cabinet,storage,steel furniture,heavy duty,TRUE
professional-long-neck-jamb-saw,Professional Long Neck Jamb Saw for Flooring Installers – Precision Door Jamb Undercutting Power Tool with Adjustable Depth and Carry Case,,,,jamb saw,flooring tools,power tool,installer tools,TRUE
high-performance-replacement-jamb-saw-blades,High-Performance Replacement Jamb Saw Blades with Carbide Tip and Masonry Options for Precision Flooring Cuts,,,,saw blades,carbide blades,replacement blades,flooring tools,TRUE
powerful-1400w-concrete-grinder,Powerful 1400W Concrete Grinder for Professional Cutting & Polishing – 125mm Disc, Multi-Material Surface Tool,,,,concrete grinder,construction tools,cutting tools,power tools,TRUE
premium-coloured-silicone-sealant,Premium Coloured Silicone Sealant for Floors and Bathrooms – High-Quality, Low Odour & Fitter Friendly | Colourseal,,,,silicone,sealant,bathroom,flooring accessories,colourseal,TRUE
premium-lvt-bevel-cap-trim,Premium LVT Bevel Cap Trim for Luxury Vinyl Flooring – Discreet, Durable & Stylish Finishing Solution,,,,lvt trim,floor trim,vinyl flooring,finishing trim,TRUE
mesh-base-turntable-trucks,Mesh Base Turntable Trucks with Puncture-Proof Wheels,,,,warehouse trolley,turntable truck,material handling,puncture proof,TRUE
double-depth-changing-room-bench,Double Depth Changing Room Bench with Shoe Storage - Solid Oak Slats,,,,bench,changing room,furniture,oaked wood,TRUE
28l-oil-chemical-spill-tray,28L Oil and Chemical Spill Tray for Safe Workplace Spill Containment (2 x 25L drum) - Up to 50kg,,,,spill tray,chemical containment,oil tray,workplace safety,TRUE
durable-outdoor-cambridge-cycle-shelter-2-5m-polycarbonate,Durable Outdoor Cambridge Cycle Shelter 2m–5m with Polycarbonate Curved Roof for Secure Bike Storage,,,,bike shelter,cycle storage,outdoor shelter,polycarbonate roof,TRUE
durable-cambridge-cycle-shelter-extension-bays,Durable Cambridge Cycle Shelter 2m–5m with Curved Polycarbonate Roof and Extension Bays – Heavy-Duty Outdoor Bike Storage Solution,,,,cycle shelter,bike storage,extension bay,outdoor shelter,TRUE
heavy-duty-cambridge-cycle-shelter-galvanised,Heavy-Duty Cambridge Cycle Shelter 2m–5m with Galvanised Curved Roof | Outdoor Bike Storage & Weather Protection,,,,cycle shelter,galvanised roof,bike storage,outdoor protection,TRUE
heavy-duty-cambridge-cycle-shelter-extension-bays,Heavy-Duty Cambridge Cycle Shelter 2m–5m Extension Bays with Galvanised Curved Roof for Secure Outdoor Bike Storage,,,,cycle shelter extension,bike storage,galvanised steel,outdoor shelter,TRUE
heavy-duty-type-a-galvanised-cycle-rack,Heavy-Duty Type A Galvanised Steel Cycle Rack – Double-Sided High-Density Bike Storage for Urban and Commercial Spaces,,,,cycle rack,bike rack,galvanised steel,high density storage,TRUE
heavy-duty-750mm-traffic-cone,Heavy-Duty 750mm 1-Piece Traffic Cone with High-Visibility Reflective Sleeve for Road Safety & Construction Sites,,,,traffic cone,road safety,construction,reflective sleeve,TRUE

industrial-mobile-workbench,Industrial Mobile Workbench with Lockable Drawers – Heavy-Duty Steel Frame,,,,workbench,steel furniture,industrial,storage,TRUE
adjustable-steel-shelving-unit,Adjustable Steel Shelving Unit – Heavy Load Commercial Storage Rack,,,,shelving,storage rack,warehouse,steel frame,TRUE
full-height-industrial-lockers,Full Height Industrial Steel Lockers with Ventilated Doors,,,,lockers,industrial furniture,steel storage,ventilated,TRUE
heavy-duty-bin-rack-system,Heavy-Duty Bin Rack System with Colour-Coded Plastic Parts Bins,,,,storage bins,parts rack,warehouse storage,organisation,TRUE
utility-wire-mesh-locker,Utility Wire Mesh Locker for Secure Ventilated Storage,,,,mesh locker,industrial storage,ventilated,steel mesh,TRUE

electric-drywall-sander-1800w,1800W Electric Drywall Sander with Dust Extraction & Extension Pole,,,,drywall tools,power tools,sanding,construction,TRUE
professional-tct-saw-blade-collection,Professional TCT Saw Blade Set – Multi-Material Wood & Metal Cutting,,,,saw blades,cutting tools,carbide blades,power tools,TRUE
high-powered-angle-grinder-230mm,High-Powered 230mm Angle Grinder for Heavy Construction Use,,,,angle grinder,power tools,cutting tools,construction,TRUE
precision-laser-distance-meter,Precision Laser Distance Meter – 100m Measurement with Backlit Display,,,,measurement tools,laser meter,precision tools,construction,TRUE
contractor-grade-cement-mixer,Contractor Grade Cement Mixer – 140L Drum, Heavy-Duty Motor,,,,cement mixer,construction tools,building site,power tools,TRUE

professional-floor-roller-100lb,Professional 100lb Floor Roller for Vinyl & Carpet Installations,,,,flooring tools,floor roller,installer tools,vinyl flooring,TRUE
lvt-transition-ramp-trim,LVT Transition Ramp Trim – Smooth Floor Level Change Solution,,,,lvt trim,floor trim,flooring accessories,transition trim,TRUE
acoustic-underlay-boards,Acoustic Underlay Boards for Noise Reduction Under Laminate & Vinyl,,,,flooring accessories,acoustic underlay,soundproofing,floor prep,TRUE
premium-floor-scribe-tool,Premium Floor Scribe Tool for Accurate Edge Marking,,,,installer tools,flooring tools,precision,scribe tool,TRUE
professional-knee-pads-gel,Professional Gel Knee Pads for Flooring Installers & Contractors,,,,installer gear,knee pads,protection,flooring tools,TRUE

heavy-duty-platform-trolley,Heavy-Duty Platform Trolley with Anti-Slip Deck,,,,warehouse trolley,material handling,transport,industrial,TRUE
folding-sack-truck-aluminium,Folding Aluminium Sack Truck – Lightweight & Durable,,,,sack truck,material handling,warehouse equipment,aluminium,TRUE
pallet-turntable-disc,Warehouse Pallet Turntable Disc – Heavy-Duty Steel,,,,turntable,material handling,warehouse,steel plate,TRUE
ergonomic-hand-pallet-truck,Ergonomic Hand Pallet Truck – 2500kg Load Capacity,,,,pallet truck,material handling,warehouse equipment,heavy duty,TRUE
industrial-cage-trolley,Industrial Cage Trolley with Lockable Doors,,,,cage trolley,warehouse storage,security trolley,material handling,TRUE

wooden-changing-room-bench,Wooden Changing Room Bench with Under-Seat Storage,,,,changing room,bench,furniture,wooden slats,TRUE
wall-mounted-coat-rail,Wall Mounted Coat Rail with 10 Hooks – School & Gym Use,,,,coat rail,changing room,furniture,storage,TRUE
double-sided-locker-unit,Double Sided Locker Unit – Ventilated Steel Locker System,,,,lockers,steel furniture,changing room,ventilated storage,TRUE
secure-personal-effects-lockers,Secure Personal Effects Lockers – Compact Multi-Door Unit,,,,lockers,storage,small item storage,steel furniture,TRUE
wet-area-plastic-lockers,Wet Area Safe Plastic Lockers – Corrosion & Rust-Proof,,,,lockers,plastic furniture,waterproof,changing room,TRUE

120l-chemical-spill-kit,120L Chemical Spill Kit – Absorbents, PPE & Disposal Bags,,,,spill kit,chemical containment,workplace safety,hazard control,TRUE
drip-tray-60l,Heavy-Duty 60L Drip Tray – Chemical & Oil Collection,,,,spill tray,spill control,oil containment,workplace safety,TRUE
bunded-storage-pallet-4drum,Bunded Storage Pallet for 4 Drums – Chemical Spill Prevention,,,,chemical containment,spill pallet,industrial safety,drum storage,TRUE
absorbent-granules-20kg,Industrial Absorbent Granules – Oil & Chemical Clean-up,,,,absorbents,chemical containment,oil control,workplace safety,TRUE
hazardous-waste-bin-90l,Hazardous Waste Bin 90L – Lockable & Colour Coded,,,,waste management,hazard control,chemical safety,storage,TRUE

galvanised-bike-shelter-compact,Compact Galvanised Bike Shelter – Weatherproof & Secure,,,,cycle shelter,bike storage,galvanised steel,outdoor shelter,TRUE
commercial-cycle-hoop-rack,Commercial Steel Cycle Hoop Rack – Surface Mounted,,,,cycle rack,bike rack,steel frame,commercial,TRUE
covered-bike-parking-bay,Outdoor Covered Bike Parking Bay – Modular & Weather-Resistant,,,,bike shelter,cycle storage,outdoor protection,steel structure,TRUE
wall-mounted-bike-hanger,Wall Mounted Bike Hanger – Space Saving Vertical Storage,,,,bike hanger,bike storage,steel rack,indoor storage,TRUE
high-density-cycle-parking-system,High Density Cycle Parking System – Modular Bike Storage,,,,cycle rack,bike storage,high density,commercial,TRUE

1200mm-traffic-barrier,1200mm Heavy-Duty Road Traffic Barrier – Interlocking Design,,,,traffic barrier,road safety,construction,safety equipment,TRUE
high-vis-parking-bollard,High Visibility Parking Bollard – Powder-Coated Steel,,,,bollard,road safety,parking control,steel bollard,TRUE
site-safety-sign-board,Construction Site Safety Sign Board – Weatherproof,,,,safety sign,construction,workplace safety,warning sign,TRUE
foldable-roadwork-warning-sign,Foldable Roadwork Warning Sign – Reflective Triangle,,,,road safety,traffic control,reflective,portable sign,TRUE
speed-bump-heavy-duty,Heavy-Duty Speed Bump – High-Visibility Rubber Design,,,,speed bump,traffic control,road safety,parking,TRUE
industrial-safety-barrier-gate,Industrial Safety Barrier Gate – Expandable Steel Design,,,,safety barrier,warehouse safety,steel gate,hazard control,TRUE
modular-pedestrian-barrier-system,Modular Pedestrian Barrier System – Lightweight & Interlocking,,,,barrier system,road safety,pedestrian control,construction,TRUE
reflective-road-marker-post,Reflective Road Marker Post – Flexible Impact Resistant,,,,road marker,road safety,reflective post,traffic control,TRUE
worksite-led-safety-lamp,Worksite LED Safety Lamp – Flashing Warning Light,,,,safety lamp,construction,road safety,warning light,TRUE
high-grip-non-slip-floor-sign,High-Grip Non-Slip Floor Safety Sign – Warehouse & Industrial,,,,safety sign,floor sign,workplace safety,anti-slip,TRUE
